name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£11499,2019,35748,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955825?sort=most-recent&twcs=true&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£7285,2014,22000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955821?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£11499,2017,57550,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955818?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£12890,2019,46000,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955809?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£5500,2017,75318,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955804?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£23990,2020,57900,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955801?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£35000,2012,82000,1.25,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955794?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4250,2013,177000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955793?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£38370,2022,26840,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955790?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£8885,2017,147000,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955786?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
